Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Claim Suite,Chrome 71.0.3578.98,,2018-12-21 09:40:41,2018-12-21 09:42:07,1m - 25.884s,FAILED
,,,,,,
Test Cases/Create Claim,Chrome 71.0.3578.98,This test case will create a claim on an existing policy,2018-12-21 09:40:41,2018-12-21 09:41:13,32.023s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2018-12-21 09:40:42,2018-12-21 09:40:45,2.637s,PASSED
navigateToUrl(DK_URL),Chrome 71.0.3578.98,,2018-12-21 09:40:45,2018-12-21 09:40:47,2.435s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2018-12-21 09:40:47,2018-12-21 09:40:47,0.138s,PASSED
"comment(""Logging into GW"")",Chrome 71.0.3578.98,,2018-12-21 09:40:47,2018-12-21 09:40:47,0.019s,PASSED
"callTestCase(findTestCase(""Reusables/Login GW""), [""user"":userName, ""pwd"":password], STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2018-12-21 09:40:47,2018-12-21 09:40:48,0.748s,PASSED
"comment(""Searching For a Policy"")",Chrome 71.0.3578.98,,2018-12-21 09:40:48,2018-12-21 09:40:48,0.001s,PASSED
"callTestCase(findTestCase(""Reusables/Step 1""), [""polNum"":polNumber], STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2018-12-21 09:40:48,2018-12-21 09:40:50,2.584s,PASSED
takeScreenshot(),Chrome 71.0.3578.98,,2018-12-21 09:40:50,2018-12-21 09:40:51,0.402s,PASSED
"click(findTestObject(""Page_GW_ClaimCenter/bt_Next""))",Chrome 71.0.3578.98,,2018-12-21 09:40:51,2018-12-21 09:40:51,0.118s,PASSED
"callTestCase(findTestCase(""Reusables/Step 2""), [:], STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2018-12-21 09:40:51,2018-12-21 09:40:56,4.619s,PASSED
"click(findTestObject(""Page_GW_ClaimCenter/bt_Next""))",Chrome 71.0.3578.98,,2018-12-21 09:40:56,2018-12-21 09:40:58,2.642s,PASSED
"callTestCase(findTestCase(""Reusables/Step 3""), [:], STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2018-12-21 09:40:58,2018-12-21 09:41:07,9.096s,PASSED
"click(findTestObject(""Page_GW_ClaimCenter/bt_Next""))",Chrome 71.0.3578.98,,2018-12-21 09:41:07,2018-12-21 09:41:07,0.093s,PASSED
