Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Claim Suite,Chrome 71.0.3578.98,,2018-12-21 09:44:52,2018-12-21 09:46:23,1m - 30.419s,FAILED
,,,,,,
Test Cases/Create Claim,Chrome 71.0.3578.98,This test case will create a claim on an existing policy,2018-12-21 09:44:52,2018-12-21 09:45:26,33.163s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2018-12-21 09:44:53,2018-12-21 09:44:56,2.492s,PASSED
navigateToUrl(DK_URL),Chrome 71.0.3578.98,,2018-12-21 09:44:56,2018-12-21 09:44:57,1.763s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2018-12-21 09:44:57,2018-12-21 09:44:58,0.149s,PASSED
"comment(""Logging into GW"")",Chrome 71.0.3578.98,,2018-12-21 09:44:58,2018-12-21 09:44:58,0.022s,PASSED
"callTestCase(findTestCase(""Reusables/Login GW""), [""user"":userName, ""pwd"":password], STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2018-12-21 09:44:58,2018-12-21 09:44:58,0.781s,PASSED
"comment(""Searching For a Policy"")",Chrome 71.0.3578.98,,2018-12-21 09:44:58,2018-12-21 09:44:58,0.004s,PASSED
"callTestCase(findTestCase(""Reusables/Step 1""), [""polNum"":polNumber], STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2018-12-21 09:44:58,2018-12-21 09:45:02,3.973s,PASSED
takeScreenshot(),Chrome 71.0.3578.98,,2018-12-21 09:45:02,2018-12-21 09:45:03,0.426s,PASSED
"click(findTestObject(""Page_GW_ClaimCenter/bt_Next""))",Chrome 71.0.3578.98,,2018-12-21 09:45:03,2018-12-21 09:45:03,0.163s,PASSED
"callTestCase(findTestCase(""Reusables/Step 2""), [:], STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2018-12-21 09:45:03,2018-12-21 09:45:06,3.586s,PASSED
"click(findTestObject(""Page_GW_ClaimCenter/bt_Next""))",Chrome 71.0.3578.98,,2018-12-21 09:45:06,2018-12-21 09:45:08,1.652s,PASSED
