Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Claim Suite,Chrome 71.0.3578.98,,2018-12-21 09:55:03,2018-12-21 09:56:26,1m - 22.757s,FAILED
,,,,,,
Test Cases/Create Claim,Chrome 71.0.3578.98,This test case will create a claim on an existing policy,2018-12-21 09:55:03,2018-12-21 09:55:30,27.029s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2018-12-21 09:55:04,2018-12-21 09:55:06,2.430s,PASSED
navigateToUrl(DK_URL),Chrome 71.0.3578.98,,2018-12-21 09:55:06,2018-12-21 09:55:08,1.870s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2018-12-21 09:55:08,2018-12-21 09:55:08,0.142s,PASSED
"comment(""Logging into GW"")",Chrome 71.0.3578.98,,2018-12-21 09:55:08,2018-12-21 09:55:08,0.021s,PASSED
"callTestCase(findTestCase(""Reusables/Login GW""), [""user"":userName, ""pwd"":password], STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2018-12-21 09:55:08,2018-12-21 09:55:09,0.698s,PASSED
"comment(""Searching For a Policy"")",Chrome 71.0.3578.98,,2018-12-21 09:55:09,2018-12-21 09:55:09,0.001s,PASSED
"callTestCase(findTestCase(""Reusables/Step 1""), [""polNum"":polNumber], STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2018-12-21 09:55:09,2018-12-21 09:55:11,2.028s,PASSED
takeScreenshot(),Chrome 71.0.3578.98,,2018-12-21 09:55:11,2018-12-21 09:55:11,0.401s,PASSED
"click(findTestObject(""Page_GW_ClaimCenter/bt_Next""))",Chrome 71.0.3578.98,,2018-12-21 09:55:11,2018-12-21 09:55:11,0.122s,PASSED
"callTestCase(findTestCase(""Reusables/Step 2""), [:], STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2018-12-21 09:55:11,2018-12-21 09:55:14,2.942s,PASSED
"click(findTestObject(""Page_GW_ClaimCenter/bt_Next""))",Chrome 71.0.3578.98,,2018-12-21 09:55:14,2018-12-21 09:55:16,1.621s,PASSED
"callTestCase(findTestCase(""Reusables/Step 3""), [:], STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2018-12-21 09:55:16,2018-12-21 09:55:24,8.627s,PASSED
"click(findTestObject(""Page_GW_ClaimCenter/bt_Next""))",Chrome 71.0.3578.98,,2018-12-21 09:55:24,2018-12-21 09:55:25,0.096s,PASSED
delay(1),Chrome 71.0.3578.98,,2018-12-21 09:55:25,2018-12-21 09:55:26,1.002s,PASSED
"click(findTestObject(""Page_GW_ClaimCenter/bt_Next""))",Chrome 71.0.3578.98,,2018-12-21 09:55:26,2018-12-21 09:55:26,0.095s,PASSED
delay(1),Chrome 71.0.3578.98,,2018-12-21 09:55:26,2018-12-21 09:55:27,1.000s,PASSED
"comment(""Clicking on Finish button to create a claim"")",Chrome 71.0.3578.98,,2018-12-21 09:55:27,2018-12-21 09:55:27,0.000s,PASSED
"click(findTestObject(""Page_GW_ClaimCenter/dd_Claimant""))",Chrome 71.0.3578.98,,2018-12-21 09:55:27,2018-12-21 09:55:27,0.118s,PASSED
