Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"click(findTestObject(""Page_GW_ClaimCenter/li_Test Name""))",Chrome 71.0.3578.98,,2018-12-21 09:55:27,2018-12-21 09:55:27,0.072s,PASSED
delay(1),Chrome 71.0.3578.98,,2018-12-21 09:55:27,2018-12-21 09:55:28,1.003s,PASSED
"click(findTestObject(""Page_GW_ClaimCenter/bt_Finish""))",Chrome 71.0.3578.98,,2018-12-21 09:55:28,2018-12-21 09:55:28,0.121s,PASSED
"getText(findTestObject(""Page_GW_ClaimCenter/label_Claim Created""))",Chrome 71.0.3578.98,,2018-12-21 09:55:28,2018-12-21 09:55:29,1.114s,PASSED
takeScreenshot(),Chrome 71.0.3578.98,,2018-12-21 09:55:29,2018-12-21 09:55:29,0.341s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2018-12-21 09:55:29,2018-12-21 09:55:30,0.656s,PASSED
,,,,,,
Test Cases/Create Claim - Negative,Chrome 71.0.3578.98,This test case is intended to fail,2018-12-21 09:55:30,2018-12-21 09:56:25,54.815s,FAILED
"openBrowser("""")",Chrome 71.0.3578.98,,2018-12-21 09:55:30,2018-12-21 09:55:32,1.242s,PASSED
navigateToUrl(DK_URL),Chrome 71.0.3578.98,,2018-12-21 09:55:32,2018-12-21 09:55:34,2.659s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2018-12-21 09:55:34,2018-12-21 09:55:34,0.125s,PASSED
"comment(""Logging into GW"")",Chrome 71.0.3578.98,,2018-12-21 09:55:34,2018-12-21 09:55:34,0.001s,PASSED
"callTestCase(findTestCase(""Reusables/Login GW""), [""user"":userName, ""pwd"":password], STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2018-12-21 09:55:34,2018-12-21 09:55:35,0.408s,PASSED
"comment(""Searching For a Policy"")",Chrome 71.0.3578.98,,2018-12-21 09:55:35,2018-12-21 09:55:35,0.000s,PASSED
"callTestCase(findTestCase(""Reusables/Step 1""), [""polNum"":polNumber], STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2018-12-21 09:55:35,2018-12-21 09:55:37,1.781s,PASSED
takeScreenshot(),Chrome 71.0.3578.98,,2018-12-21 09:55:37,2018-12-21 09:55:37,0.375s,PASSED
"click(findTestObject(""Page_GW_ClaimCenter/bt_Next""))",Chrome 71.0.3578.98,,2018-12-21 09:55:37,2018-12-21 09:55:37,0.126s,PASSED
"callTestCase(findTestCase(""Reusables/Step 2""), [:], STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2018-12-21 09:55:37,2018-12-21 09:55:41,4.173s,PASSED
"click(findTestObject(""Page_GW_ClaimCenter/bt_Next""))",Chrome 71.0.3578.98,,2018-12-21 09:55:41,2018-12-21 09:55:43,1.698s,PASSED
"callTestCase(findTestCase(""Reusables/Step 3""), [:], STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2018-12-21 09:55:43,2018-12-21 09:55:52,8.686s,PASSED
"click(findTestObject(""Page_GW_ClaimCenter/bt_Next""))",Chrome 71.0.3578.98,,2018-12-21 09:55:52,2018-12-21 09:55:52,0.097s,PASSED
delay(1),Chrome 71.0.3578.98,,2018-12-21 09:55:52,2018-12-21 09:55:53,1.001s,PASSED
"click(findTestObject(""Page_GW_ClaimCenter/bt_Next""))",Chrome 71.0.3578.98,,2018-12-21 09:55:53,2018-12-21 09:55:53,0.090s,PASSED
"comment(""Clicking on Finish button to create a claim"")",Chrome 71.0.3578.98,,2018-12-21 09:55:53,2018-12-21 09:55:53,0.000s,PASSED
delay(1),Chrome 71.0.3578.98,,2018-12-21 09:55:53,2018-12-21 09:55:54,1.001s,PASSED
"click(findTestObject(""Page_GW_ClaimCenter/bt_Finish""))",Chrome 71.0.3578.98,,2018-12-21 09:55:54,2018-12-21 09:55:54,0.101s,PASSED
"getText(findTestObject(""Page_GW_ClaimCenter/label_Claim Created""))",Chrome 71.0.3578.98,,2018-12-21 09:55:54,2018-12-21 09:56:25,31.025s,FAILED
